Academic Year,Module Code,Assessment Pattern Code,Assessment Sequence Number,Assessment Name,Assessment Weight,Assessment Summary,Module Instance Key,Module Delivery Instance Key,Assessment Body Instance Key
2023,COMP0108,COMP0108A7PF,4,Coursework 3 (Part 1) (Group with Individual Contribution),20,#004 20% GN02 Coursework 3 (Part 1) (Group with Individual Contribution),2023-COMP0108,2023-COMP0108-A7P,COMP0108A7PF-4
2023,COMP0108,COMP0108A7PF,5,Coursework 3 (Part 2) (Group),10,#005 10% GN02 Coursework 3 (Part 2) (Group),2023-COMP0108,2023-COMP0108-A7P,COMP0108A7PF-5
2023,COMP0108,COMP0108A7PF,6,Coursework 4 (Individual),30,#006 30% CN01 Coursework 4 (Individual),2023-COMP0108,2023-COMP0108-A7P,COMP0108A7PF-6
2023,COMP0110,COMP0110A7PF,1,Project/ Dissertation Report,100,#001 100% RN01 Project/ Dissertation Report,2023-COMP0110,2023-COMP0110-A7P,COMP0110A7PF-1
2023,COMP0111,COMP0111A7PF,1,Project/ Dissertation Report (Group),40,#001 40% GN01 Project/ Dissertation Report (Group),2023-COMP0111,2023-COMP0111-A7P,COMP0111A7PF-1
2023,COMP0111,COMP0111A7PF,2,Project/ Dissertation Report (Individual),40,#002 40% RN01 Project/ Dissertation Report (Individual),2023-COMP0111,2023-COMP0111-A7P,COMP0111A7PF-2
2023,COMP0111,COMP0111A7PF,3,Oral Examination (Individual),20,#003 20% OD01 Oral Examination (Individual),2023-COMP0111,2023-COMP0111-A7P,COMP0111A7PF-3
2023,COMP0113,COMP0113A7PF,1,Project (Group),50,#001 50% GN01 Project (Group),2023-COMP0113,2023-COMP0113-A7P,COMP0113A7PF-1
2023,COMP0113,COMP0113A7PF,2,Presentation (Group),20,#002 20% GN01 Presentation (Group),2023-COMP0113,2023-COMP0113-A7P,COMP0113A7PF-2
2023,COMP0113,COMP0113A7PF,3,Coursework (Individual),30,#003 30% CN01 Coursework (Individual),2023-COMP0113,2023-COMP0113-A7P,COMP0113A7PF-3
2023,COMP0113,COMP0113A7UF,1,Project (Group),50,#001 50% GN01 Project (Group),2023-COMP0113,2023-COMP0113-A7U,COMP0113A7UF-1
2023,COMP0113,COMP0113A7UF,2,Presentation (Group),20,#002 20% GN01 Presentation (Group),2023-COMP0113,2023-COMP0113-A7U,COMP0113A7UF-2
2023,COMP0113,COMP0113A7UF,3,Coursework (Individual),30,#003 30% CN01 Coursework (Individual),2023-COMP0113,2023-COMP0113-A7U,COMP0113A7UF-3
2023,COMP0114,COMP0114A7PF,1,Coursework 1,25,#001 25% CN01 Coursework 1,2023-COMP0114,2023-COMP0114-A7P,COMP0114A7PF-1
2023,COMP0114,COMP0114A7PF,2,Coursework 2,25,#002 25% CN01 Coursework 2,2023-COMP0114,2023-COMP0114-A7P,COMP0114A7PF-2
2023,COMP0114,COMP0114A7PF,3,Coursework 3,50,#003 50% CN01 Coursework 3,2023-COMP0114,2023-COMP0114-A7P,COMP0114A7PF-3
2023,COMP0114,COMP0114A7UF,1,Coursework 1,25,#001 25% CN01 Coursework 1,2023-COMP0114,2023-COMP0114-A7U,COMP0114A7UF-1
2023,COMP0114,COMP0114A7UF,2,Coursework 2,25,#002 25% CN01 Coursework 2,2023-COMP0114,2023-COMP0114-A7U,COMP0114A7UF-2
2023,COMP0114,COMP0114A7UF,3,Coursework 3,50,#003 50% CN01 Coursework 3,2023-COMP0114,2023-COMP0114-A7U,COMP0114A7UF-3
2023,COMP0118,COMP0118A7PF,1,Coursework 1 (Individual),35,#001 35% CN01 Coursework 1 (Individual),2023-COMP0118,2023-COMP0118-A7P,COMP0118A7PF-1
2023,COMP0118,COMP0118A7PF,2,Coursework 2 (Individual),15,#002 15% CN01 Coursework 2 (Individual),2023-COMP0118,2023-COMP0118-A7P,COMP0118A7PF-2
2023,COMP0118,COMP0118A7PF,3,Coursework 3 (Individual),45,#003 45% CN01 Coursework 3 (Individual),2023-COMP0118,2023-COMP0118-A7P,COMP0118A7PF-3
2023,COMP0118,COMP0118A7PF,4,Presentation (Group),5,#004 05% OD02 Presentation (Group),2023-COMP0118,2023-COMP0118-A7P,COMP0118A7PF-4
2023,COMP0118,COMP0118A7UF,1,Coursework 1 (Individual),35,#001 35% CN01 Coursework 1 (Individual),2023-COMP0118,2023-COMP0118-A7U,COMP0118A7UF-1
2023,COMP0118,COMP0118A7UF,2,Coursework 2 (Individual),15,#002 15% CN01 Coursework 2 (Individual),2023-COMP0118,2023-COMP0118-A7U,COMP0118A7UF-2
2023,COMP0118,COMP0118A7UF,3,Coursework 3 (Individual),45,#003 45% CN01 Coursework 3 (Individual),2023-COMP0118,2023-COMP0118-A7U,COMP0118A7UF-3
2023,COMP0118,COMP0118A7UF,4,Presentation (Group),5,#004 05% OD02 Presentation (Group),2023-COMP0118,2023-COMP0118-A7U,COMP0118A7UF-4
2023,COMP0119,COMP0119A7PF,1,Coursework 1 (Individual),30,#001 30% CN01 Coursework 1 (Individual),2023-COMP0119,2023-COMP0119-A7P,COMP0119A7PF-1
2023,COMP0119,COMP0119A7PF,2,Coursework 2 (Individual),30,#002 30% CN01 Coursework 2 (Individual),2023-COMP0119,2023-COMP0119-A7P,COMP0119A7PF-2
2023,COMP0119,COMP0119A7PF,3,Project (Group),40,#003 40% GN01 Project (Group),2023-COMP0119,2023-COMP0119-A7P,COMP0119A7PF-3
2023,COMP0119,COMP0119A7UF,1,Coursework 1 (Individual),30,#001 30% CN01 Coursework 1 (Individual),2023-COMP0119,2023-COMP0119-A7U,COMP0119A7UF-1
2023,COMP0119,COMP0119A7UF,2,Coursework 2 (Individual),30,#002 30% CN01 Coursework 2 (Individual),2023-COMP0119,2023-COMP0119-A7U,COMP0119A7UF-2
2023,COMP0119,COMP0119A7UF,3,Project (Group),40,#003 40% GN01 Project (Group),2023-COMP0119,2023-COMP0119-A7U,COMP0119A7UF-3
2023,COMP0120,COMP0120A7PF,1,Coursework,50,#001 50% CN01 Coursework,2023-COMP0120,2023-COMP0120-A7P,COMP0120A7PF-1
2023,COMP0120,COMP0120A7PF,2,Project Report,50,#002 50% RN01 Project Report,2023-COMP0120,2023-COMP0120-A7P,COMP0120A7PF-2
2023,COMP0121,COMP0121A7PF,1,Coursework 1,30,#001 30% CN01 Coursework 1,2023-COMP0121,2023-COMP0121-A7P,COMP0121A7PF-1
2023,COMP0121,COMP0121A7PF,2,Coursework 2,30,#002 30% CN01 Coursework 2,2023-COMP0121,2023-COMP0121-A7P,COMP0121A7PF-2
2023,COMP0121,COMP0121A7PF,3,Coursework 3,15,#003 15% CN01 Coursework 3,2023-COMP0121,2023-COMP0121-A7P,COMP0121A7PF-3
2023,COMP0121,COMP0121A7PF,4,Coursework 4,25,#004 25% CN01 Coursework 4,2023-COMP0121,2023-COMP0121-A7P,COMP0121A7PF-4
2023,COMP0121,COMP0121A7UF,1,Coursework 1,30,#001 30% CN01 Coursework 1,2023-COMP0121,2023-COMP0121-A7U,COMP0121A7UF-1
2023,COMP0121,COMP0121A7UF,2,Coursework 2,30,#002 30% CN01 Coursework 2,2023-COMP0121,2023-COMP0121-A7U,COMP0121A7UF-2
2023,COMP0121,COMP0121A7UF,3,Coursework 3,15,#003 15% CN01 Coursework 3,2023-COMP0121,2023-COMP0121-A7U,COMP0121A7UF-3
2023,COMP0121,COMP0121A7UF,4,Coursework 4,25,#004 25% CN01 Coursework 4,2023-COMP0121,2023-COMP0121-A7U,COMP0121A7UF-4
2023,COMP0122,COMP0122A7PF,1,Project/ Dissertation Report,100,#001 100% RN01 Project/ Dissertation Report,2023-COMP0122,2023-COMP0122-A7P,COMP0122A7PF-1
2023,COMP0122,COMP0122A7PF,2,Project Presentation,0,#002 00% OD02 Project Presentation,2023-COMP0122,2023-COMP0122-A7P,COMP0122A7PF-2
2023,COMP0123,COMP0123A7PF,1,Coursework 1,30,#001 30% CN01 Coursework 1,2023-COMP0123,2023-COMP0123-A7P,COMP0123A7PF-1
2023,COMP0123,COMP0123A7PF,2,Coursework 2,70,#002 70% CN01 Coursework 2,2023-COMP0123,2023-COMP0123-A7P,COMP0123A7PF-2
2023,COMP0123,COMP0123A7UF,1,Coursework 1,30,#001 30% CN01 Coursework 1,2023-COMP0123,2023-COMP0123-A7U,COMP0123A7UF-1
2023,COMP0123,COMP0123A7UF,2,Coursework 2,70,#002 70% CN01 Coursework 2,2023-COMP0123,2023-COMP0123-A7U,COMP0123A7UF-2
2023,COMP0124,COMP0124A7PF,1,Coursework (Individual),50,#001 50% CN01 Coursework (Individual),2023-COMP0124,2023-COMP0124-A7P,COMP0124A7PF-1
2023,COMP0124,COMP0124A7PF,2,Project (Group),50,#002 50% GN01 Project (Group),2023-COMP0124,2023-COMP0124-A7P,COMP0124A7PF-2
2023,COMP0124,COMP0124A7UF,1,Coursework (Individual),50,#001 50% CN01 Coursework (Individual),2023-COMP0124,2023-COMP0124-A7U,COMP0124A7UF-1
2023,COMP0124,COMP0124A7UF,2,Project (Group),50,#002 50% GN01 Project (Group),2023-COMP0124,2023-COMP0124-A7U,COMP0124A7UF-2
2023,COMP0127,COMP0127A7PF,1,Coursework 1,30,#001 30% CN01 Coursework 1,2023-COMP0127,2023-COMP0127-A7P,COMP0127A7PF-1
2023,COMP0127,COMP0127A7PF,2,Coursework 2,30,#002 30% CN01 Coursework 2,2023-COMP0127,2023-COMP0127-A7P,COMP0127A7PF-2
2023,COMP0127,COMP0127A7PF,3,Coursework 3,40,#003 40% CN01 Coursework 3,2023-COMP0127,2023-COMP0127-A7P,COMP0127A7PF-3
2023,COMP0127,COMP0127A7UF,1,Coursework 1,30,#001 30% CN01 Coursework 1,2023-COMP0127,2023-COMP0127-A7U,COMP0127A7UF-1
2023,COMP0127,COMP0127A7UF,2,Coursework 2,30,#002 30% CN01 Coursework 2,2023-COMP0127,2023-COMP0127-A7U,COMP0127A7UF-2
2023,COMP0127,COMP0127A7UF,3,Coursework 3,40,#003 40% CN01 Coursework 3,2023-COMP0127,2023-COMP0127-A7U,COMP0127A7UF-3
2023,COMP0128,COMP0128A7PF,1,Coursework 1 (Group),50,#001 50% GN02 Coursework 1 (Group),2023-COMP0128,2023-COMP0128-A7P,COMP0128A7PF-1
2023,COMP0128,COMP0128A7PF,2,Coursework 2 (Individual),50,#002 50% CN01 Coursework 2 (Individual),2023-COMP0128,2023-COMP0128-A7P,COMP0128A7PF-2
2023,COMP0129,COMP0129A7PF,1,Coursework 1 (Group),30,#001 30% GN02 Coursework 1 (Group),2023-COMP0129,2023-COMP0129-A7P,COMP0129A7PF-1
2023,COMP0129,COMP0129A7PF,2,Coursework 2 (Group),35,#002 35% GN02 Coursework 2 (Group),2023-COMP0129,2023-COMP0129-A7P,COMP0129A7PF-2
2023,COMP0129,COMP0129A7PF,3,Coursework 3 (Group),35,#003 35% GN02 Coursework 3 (Group),2023-COMP0129,2023-COMP0129-A7P,COMP0129A7PF-3
2023,COMP0130,COMP0130A7PF,1,Coursework 1 (Group),33,#001 33% GN01 Coursework 1 (Group),2023-COMP0130,2023-COMP0130-A7P,COMP0130A7PF-1
2023,COMP0130,COMP0130A7PF,2,Coursework 2 (Group),33,#002 33% GN01 Coursework 2 (Group),2023-COMP0130,2023-COMP0130-A7P,COMP0130A7PF-2
2023,COMP0130,COMP0130A7PF,3,Coursework 3 (Group),34,#003 34% GN01 Coursework 3 (Group),2023-COMP0130,2023-COMP0130-A7P,COMP0130A7PF-3
2023,COMP0132,COMP0132A7PF,1,Project/ Dissertation Report,100,#001 100% RN01 Project/ Dissertation Report,2023-COMP0132,2023-COMP0132-A7P,COMP0132A7PF-1
